career_age,W1_raw,W1_log1p
0,0.8227517910240402,0.23587637630362696
1,1.704154201132343,0.31465419274935685
2,2.122178632271109,0.24297585388682374
3,1.9092194222845178,0.24430818810688848
4,2.298671443530062,0.289936177005524
5,2.6017373210283585,0.30712716590553285
6,2.3372396108563938,0.26467081841613394
7,2.228455044525181,0.24828379684730076
8,2.053553003189334,0.23706952545987686
9,2.2620216745322366,0.2726976147556372
10,2.277792562429263,0.2893309279260834
11,2.6343030801427707,0.32881138313737035
12,2.299596595055814,0.30113015120392794
13,2.09790016154901,0.29004355903943824
14,1.8638654422926182,0.25134545529744523
15,1.8995454855070508,0.2681264422883354
16,1.8160671347905677,0.23917357945821632
17,2.235715630461632,0.29130127802740824
18,1.6832297589305407,0.2358777797026665
19,1.5500128065240133,0.21000448645639724
20,1.3312794804758714,0.1543809018135909
