career_age,W1_raw,W1_log1p
0,0.29191702322560686,0.17376550549015365
1,0.5775538368713167,0.2486525119464856
2,0.6962871281986083,0.2120829267936251
3,0.5544687160885923,0.16284337586192607
4,0.7381087698181166,0.19366201819537465
5,0.7819446879599784,0.21079732532191753
6,0.6455769744105622,0.1962958126600186
7,0.7828371032704676,0.21326831874603724
8,0.9981077124053304,0.2625354306666767
9,1.0660640917879407,0.2759251570647945
10,1.0540593130933948,0.3125037450234595
11,0.9882476680953112,0.3093158812721353
12,1.0772106707926117,0.31081580163955197
13,1.1721378696481353,0.3201027459912744
14,1.3059994684004463,0.36343533621232665
15,1.273431471347386,0.35941921227402246
16,1.1981703012651685,0.343024128841416
17,1.1522685802049017,0.3325677944287974
18,1.2745800070716584,0.39463541325228774
19,1.5109522109565203,0.39090563093573183
20,1.5129137216985582,0.4007844039297754
